session_name,start_date,end_date
Sample new session 1,2024-01-01 08:00:00,2024-01-01 18:00:00
Sample new session 2,2024-02-01 08:00:00,2024-02-01 18:00:00
Sample new session 3,2024-03-01 08:00:00,2024-03-01 18:00:00
Sample new session 4,2024-04-01 08:00:00,2024-04-01 18:00:00
Sample new session 5,2024-05-01 08:00:00,2024-05-01 18:00:00
Sample new session 6,2024-06-01 08:00:00,2024-06-01 18:00:00
Sample new session 7,2024-07-01 08:00:00,2024-07-01 18:00:00
Sample new session 8,2024-08-01 08:00:00,2024-08-01 18:00:00
Sample new session 9,2024-09-01 08:00:00,2024-09-01 18:00:00
Sample new session 10,2024-10-01 08:00:00,2024-10-01 18:00:00
Sample new session 11,2024-11-01 08:00:00,2024-11-01 18:00:00
Sample new session 12,2024-12-01 08:00:00,2024-12-01 18:00:00
Sample new session 13,2025-01-01 08:00:00,2025-01-01 18:00:00
